Dep,Dest,Evenodd,Restriction,Route
OIMM,LT,EVEN,,ORDOB A647 SBZ A416 ODKOL Z710 DNZ A416 RST L333 DASIS
OIMM,OA,ODD,,TANBU B411 PAMTU
OIMM,OA,ODD,,TANBU G792 PAMTU
OIMM,OB,EVEN,,EMESA W162 DAPIN M318 TBS G663 ALSER
OIMM,OT,EVEN,,EMESA W162 DAPIN M318 TBS G663 SYZ R659 MIDSI
OIMM,OK,EVEN,,EMESA W162 DAPIN M318 TBS G663 SYZ G669 NANPI
OIMM,OM,EVEN,,NOTSO B441 NABOX A453 DAVEP Q10 MOBET M324 PATAT
OIMM,OP,ODD,,NOTSO G775 ZDN G452 DERBO
OIMM,OR,EVEN,,ORDOB A647 RAGET
OIMM,UB,EVEN,,ORDOB A647 SBZ A416 ODKOL Z710 DNZ P567 ULDUS
OIMM,UB,EVEN,,ORDOB A647 SBZ A416 ODKOL Z710 DNZ N319 ULDUS
OIMM,UD,EVEN,,ORDOB A647 SBZ N636 MAGRI
OIMM,UT,ODD,,MIDMO G775 ORPAB
OIMS,OIII,EVEN,,MITUS A647 MUXOR
OIMT,OIII,EVEN,,ALMUD W159 ROVAD L125 RADAL
OIMT,OIII,EVEN,,ALMUD W159 ROVAD G208 RADAL
OING,OIAA,EVEN,,IMPIR A414 DNZ Z2 TRN G667 SAV N72 MAH W31 BOPIS
OING,OIAW,EVEN,,IMPIR A414 DNZ Z2 TRN G667 SAV N72 IMKEN W6 ITIBI
OING,OIBP,EVEN,,IMPIR A414 DNZ Z2 TRN G667 SAV P574 SYZ G666 LAM
OING,OIII,EVEN,,IMPIR A414 BUBUX A647 MUXOR
OING,OISS,ODD,,IMPIR A414 DNZ Z2 TRN G667 SAV P574 ASNIT
OING,OIBK,ODD,,IMPIR A414 DNZ A416 NSH G667 SAV P574 SYZ G666 LVA B547 ALNOL
OING,OIMM,ODD,,ALNIT A414 BRD G792 BOTEK
OINZ,OIII,EVEN,,LABET A414 BUBUX A647 MUXOR
OINZ,OIMM,ODD,,DATOL A414 BRD G792 BOTEK
OINZ,OIMM,ODD,,PUSAL Z710 ODKOL A416 RIBUX
OINZ,OIKQ,ODD,,MODEK A416 NSH N39 OBRIX M715 PURKI W32 ASMU
OINZ,OIKB,ODD,,MODEK A416 NSH N39 OBRIX M715 PURKI W32 ASMUK
OINZ,OIAW,EVEN,,MODEK A416 NSH P574 EGVEL N72/B417 IMKEN W6 ITIBI
OINZ,OIAA,EVEN,,MODEK A416 NSH P574 EGVEL N72/B417 MAH W31 BOPIS
OINZ,OISS,ODD,,MODEK A416 NSH P574 ASNIT
OINZ,OIFM,ODD,,MODEK A416 NSH P574 PEKAM
OINZ,OIBK,ODD,,MODEK A416 NSH P574 SYZ G666 LVA B547 ALNOL
OINZ,OIBP,ODD,,MODEK A416 NSH P574 SYZ G666 LAM
OISS,OIBK,ODD,,KUPTO G666 LVA B547 ALNOL
OISS,OIBS,ODD,,KUPTO G666 LVA B547 KIS
OISS,OICC,EVEN,,ASNIT P574 IMRAG G202 KRD W158 BUBAV
OISS,OICI,EVEN,,ASNIT P574 IMRAG G202 ALTET
OISS,OICK,EVEN,,ASNIT P574 IMRAG G202 NOTSA
OISS,OIFK,EVEN,,KAVOT R659 DAPOG
OISS,OIGG,EVEN,,ASNIT P574 SAV N72 GOLNU W161 RARTA
OISS,OIII,EVEN,,KAVOT R659 BOXAM
OISS,OINZ,EVEN,,KAVOT R659 TRN G667 NSH A416 MODEK
OISS,OING,EVEN,,KAVOT R659 TRN Z2 DNZ A414 IMPIR
OISS,OITT,EVEN,,ASNIT P574 SAV R654 ZAJ R654 BUDED R660  RAKED
OISS,OITT,EVEN,,ASNIT P574 SAV L124 ZAJ R654 BUDED L333 RAKED
OISS,LT,EVEN,,KISED W3 KIXOB L223 KAPES M555 ALRAM
OISS,LT,EVEN,,KISED W3 KIXOB L223 UMH L852 TESVA
OISS,LT,EVEN,,KAVOT R659 ISN R654 ZAJ R661 TBZ R660 DASIS
OISS,OA,ODD,,NALBI G452 ZDN A453 PIRAN
OISS,OB,EVEN,,DEPSU G663 ALSER
OISS,OT,EVEN,,KATAG R659 MIDSI
OISS,OK,EVEN,,IVERA G669 NANPI
OISS,OM,ODD,,KUPTO G666 ORSAR
OISS,OP,ODD,,NALBI G452 DERBO
OISS,OR,EVEN,,KISED W3 KIXOB L223 UKSIS G202 RAGET
OISS,UB,EVEN,,KAVOT R659 ISN R654 SAV N72 BATEV
OISS,UD,EVEN,,KAVOT R659 ISN R654 MAGRI
OISS,UT,ODD,,KINOT G663 TBS M318 RIKOP
OISY,OIII,EVEN,,MIPUL W144 GESIP R659 BOXAM
OISY,OIII,EVEN,,MIPUL Q25 GESIP R659 BOXAM
OITK,OIII,ODD,,TBZ R661 MIVAK
OITK,OIII,ODD,,TBZ R660 RST Z725 PAXID
OITL,OIAW,EVEN,,GIVTA A416 RST Z725 PAXID N72 IMKEN W6 ITIBI
OITL,OIAW,EVEN,,GIVTA A416 RST W9 DZF W3 IMKEN W6 ITIBI
OITT,OIFM,ODD,,RUDAD R661 ZAJ L124 PEKAM
OITT,OIFM,ODD,,RUDAD R661 ZAJ R654 PEKAM
OITT,OIII,ODD,,RUDAD R661 MIVAK
OITT,OIKB,ODD,,RUDAD R661 ZAJ R654 SAV P574 SYZ W10 MOBON
OITT,OIKQ,ODD,,RUDAD R661 ZAJ R654  SAV P574 SYZ W10 MOBON
OITT,OIKQ,ODD,,RUDAD R661 ZAJ L124 SAV P574 SYZ W10 MOBON
OITT,OISS,ODD,,RUDAD R661 ZAJ R654 PEKAM P574 ASNIT
OITT,OISS,ODD,,RUDAD R661 ZAJ L124 PEKAM P574 ASNIT
OITT,OIMM,ODD,,RAKED L333 RST Z720 GGN A416 RIBUX
OITT,OIMM,ODD,,RAKED R660 RST A416 DNZ Z710 ODKOL A416 RIBUX
OITT,OIMM,ODD,,RAKED L333 RST A416 DNZ Z710 ODKOL A416 RIBUX
OITT,LT,EVEN,,BORES L333 DASIS
OITT,LT,EVEN,,BORES R660 DASIS
OITT,OB,ODD,,RABEM M317 RADID L319 DASDO G663 ALSER
OITT,OT,ODD,,RABEM M317 RADID L319 DASDO L223 LAGSA R659 MIDSI
OITT,OM,ODD,,RABEM M317 RADID L319 DASDO L223 LAM G666 ORSAR
OITT,OR,ODD,,RABEM M317 PAREX W158 KMS A647 RAGET
